Index	ImgID	Ratings Received	Mean of Ratings	Standard Deviation	6	7	8	9	10	11	12
182	1218468	12	5.75	-1	-1	-1	-1	-1	-1	-1	-1
183	1218542	23	5.13	0.374291115	0	0	0	3	14	6	0
184	1220013	27	5.93	0.280612245	0	0	0	1	2	23	2
185	1220640	16	5.31	0.33984375	0	0	0	1	9	6	0
186	1221463	63	5.71	0.394557823	0	0	0	1	21	36	5
187	1223340	17	5.94	-1	-1	-1	-1	-1	-1	-1	-1
188	1224068	36	5.94	0.462222222	0	0	0	0	9	24	12
189	1224747	11	4.91	0.809917355	0	0	1	2	5	3	0
190	1226205	49	5.84	-1	-1	-1	-1	-1	-1	-1	-1
191	1226350	43	5.84	-1	-1	-1	-1	-1	-1	-1	-1
192	1226354	32	6.16	-1	-1	-1	-1	-1	-1	-1	-1
193	1227813	145	5.71	0.414078478	0	0	1	4	36	95	9
194	1229759	10	5.6	-1	-1	-1	-1	-1	-1	-1	-1
195	1232117	12	5.5	0.583333333	0	0	0	1	5	5	1
196	1234349	22	5.95	-1	-1	-1	-1	-1	-1	-1	-1
197	1235525	49	5.84	-1	-1	-1	-1	-1	-1	-1	-1
198	1235793	49	5.53	0.534777176	0	0	0	5	15	27	2
199	1237131	11	6	-1	-1	-1	-1	-1	-1	-1	-1
200	1238032	15	5.87	0.30859375	0	0	0	1	0	14	1
201	1239621	10	5.6	0.44	0	0	0	0	5	4	1
202	1239656	18	5.5	0.249307479	0	0	0	0	9	10	0
203	1239663	10	5.8	0.56	0	0	0	0	4	4	2
204	1240854	27	5.33	0.738520408	0	0	0	4	12	9	3
205	1244765	33	6.21	0.217142857	0	0	0	0	1	26	8
206	1245093	41	6.34	0.480987654	0	0	0	0	6	19	20
207	124825	19	4.89	-1	-1	-1	-1	-1	-1	-1	-1
208	1248408	22	5.86	-1	-1	-1	-1	-1	-1	-1	-1
209	1248410	16	6.25	0.530612245	0	0	0	0	3	6	12
210	124845	10	4.7	1.01	0	0	1	4	2	3	0
211	1250216	12	4.67	0.388888889	0	0	0	5	6	1	0
212	1251026	30	6.3	0.384375	0	0	0	0	3	19	18
213	1251698	36	5.64	0.341820988	0	0	0	2	9	25	0
214	125290	13	4.62	0.888888889	0	0	0	8	0	4	0
215	1254576	13	5.46	0.402366864	0	0	0	1	5	7	0
216	1254590	30	4.87	0.782222222	0	0	1	10	12	6	1
217	1254609	10	5.2	0.76	0	0	1	0	5	4	0
218	1255307	44	6.25	0.312381853	0	0	0	0	3	29	14
219	1255707	15	5.33	0.4375	0	0	0	2	8	6	0
220	1256476	36	5.31	0.601080247	0	0	0	7	11	18	0
221	1256486	10	6	0.2	0	0	0	0	1	8	1
222	1256940	28	5.93	0.441135734	0	0	0	1	4	24	9
223	1257733	20	6.25	0.204081633	0	0	0	0	0	15	6
224	1258064	20	5.3	0.41	0	0	0	2	10	8	0
225	1258070	12	5	0.380165289	0	0	0	1	6	4	0
226	1258078	14	5.79	0.596938776	0	0	0	1	3	8	2
227	125939	14	4.36	1.076388889	0	0	1	7	0	4	0
228	125940	12	3.92	0.81	0	0	1	7	0	2	0
229	1259966	39	6.18	0.48088843	0	0	0	1	4	24	15
230	1261820	38	5.63	-1	-1	-1	-1	-1	-1	-1	-1
231	1262011	22	5.95	0.267751479	0	0	0	0	4	19	3
232	126346	15	3.87	0.84	0	0	0	7	0	3	0
233	1263592	53	5.92	0.61443787	0	0	1	0	15	33	16
234	1265616	52	6.33	0.358780549	0	0	0	0	4	32	27
235	1265947	31	6.32	0.395792242	0	0	0	0	3	17	19
236	1267095	12	5.42	0.743055556	0	0	0	2	4	5	1
237	126843	16	5	0.888888889	0	0	0	4	0	8	0
238	1269076	30	6.43	0.441207076	0	0	0	0	3	11	17
239	1270197	24	5.92	-1	-1	-1	-1	-1	-1	-1	-1
240	1270211	32	6.03	0.656326531	0	0	0	2	5	18	10
241	1271850	17	6.18	-1	-1	-1	-1	-1	-1	-1	-1
242	1272017	16	5.5	0.712802768	0	0	0	1	8	5	3
243	1272115	15	5.73	-1	-1	-1	-1	-1	-1	-1	-1
244	1272772	79	6	-1	-1	-1	-1	-1	-1	-1	-1
245	1272774	208	6.69	0.271308523	0	0	0	0	8	52	178
246	1274957	55	5.22	0.825123967	0	0	2	10	19	22	2
247	1275701	15	6.4	0.234375	0	0	0	0	0	10	6
248	1276821	16	5.69	-1	-1	-1	-1	-1	-1	-1	-1
249	1277537	39	5.62	0.59566075	0	0	0	5	7	25	2
250	1280468	23	6.13	-1	-1	-1	-1	-1	-1	-1	-1
251	1281234	65	6.12	-1	-1	-1	-1	-1	-1	-1	-1
252	1281603	16	4.69	0.33984375	0	0	0	6	9	1	0
253	1283052	33	6.12	0.506245891	0	0	0	1	4	21	13
254	1285314	15	5.6	0.506666667	0	0	0	1	5	8	1
255	129114	17	3.88	0.84	0	0	0	7	0	3	0
256	1291899	87	5.4	0.685235262	0	0	3	7	30	43	3
257	1294191	26	6.38	0.4704	0	0	0	0	3	10	12
258	1294807	10	5.4	0.24	0	0	0	0	6	4	0
259	1296544	11	5.18	0.694214876	0	0	0	2	6	2	1
260	1296915	47	5.19	0.580353101	0	0	0	10	18	19	0
261	1297017	18	5.94	0.385802469	0	0	0	0	4	11	3
262	1298328	12	5.5	0.25	0	0	0	0	6	6	0
263	1298443	12	6.08	0.284023669	0	0	0	0	1	9	3
264	1298676	10	4.4	0.84	0	0	2	3	4	1	0
265	1299606	12	5.75	0.520833333	0	0	0	1	2	8	1
266	1299746	17	5.24	0.75617284	0	0	0	4	6	7	1
267	1303800	21	5.29	0.3875	0	0	0	2	11	7	0
268	1304301	12	5.5	-1	-1	-1	-1	-1	-1	-1	-1
269	1305466	36	5.08	0.576388889	0	0	1	6	18	11	0
270	1306057	14	6.14	0.343490305	0	0	0	0	2	12	5
271	1307816	32	5.38	-1	-1	-1	-1	-1	-1	-1	-1
272	1310773	17	4.88	0.809688581	0	0	2	2	9	4	0
273	1312056	10	5.5	0.45	0	0	0	1	3	6	0
274	1315180	37	6.43	0.407596786	0	0	0	1	0	18	18
275	1316160	29	5.48	-1	-1	-1	-1	-1	-1	-1	-1
276	1316855	32	5.91	0.209960938	0	0	0	0	5	25	2
277	1316911	22	4.86	1.026859504	0	0	2	6	8	5	1
278	1318588	16	5.94	0.43359375	0	0	0	1	1	12	2
279	1319560	56	5.2	0.622130102	0	0	1	9	25	20	1
280	1321551	18	5.11	-1	-1	-1	-1	-1	-1	-1	-1
281	1325242	17	5.18	0.851211073	0	0	1	3	5	8	0
282	1328002	36	6.14	0.514243974	0	0	0	1	4	20	12
283	1328129	13	5.54	0.402366864	0	0	0	1	4	8	0
284	1328415	10	5.1	0.49	0	0	0	2	5	3	0
285	1328976	10	5.6	-1	-1	-1	-1	-1	-1	-1	-1
286	1329985	19	5.32	0.426592798	0	0	0	2	9	8	0
287	1333188	49	5.14	0.693877551	0	0	1	10	20	17	1
288	1333702	38	5.21	0.980277575	0	0	2	6	14	12	3
289	1335269	49	5.2	0.897126197	0	0	2	9	18	17	3
290	1335825	11	5.36	0.41322314	0	0	0	1	5	5	0
291	1340555	21	5.24	0.467120181	0	0	0	3	10	8	0
292	1340582	35	5.17	0.370612245	0	0	0	4	21	10	0
293	1340676	27	5.19	0.521262003	0	0	0	4	15	7	1
294	1340917	27	6.22	0.320987654	0	0	0	0	2	17	8
295	1342854	79	5.24	0.587726326	0	0	1	11	37	28	2
296	1344129	89	5.39	0.665572529	0	0	2	10	31	43	3
297	1345102	14	5.43	0.244897959	0	0	0	0	8	6	0
298	1345290	55	5.22	0.849451303	0	0	3	8	17	25	1
299	1347135	11	5	0.909090909	0	0	1	2	4	4	0
300	1347336	23	5.43	0.419659735	0	0	0	2	9	12	0
301	1347532	76	5.51	0.355090028	0	0	0	2	35	37	2
302	1348345	13	5.15	0.437869822	0	0	0	2	7	4	0
303	1349570	34	5.06	0.467128028	0	0	0	7	18	9	0
304	1349979	25	6.36	0.390532544	0	0	0	0	2	12	12
305	1350029	20	5.75	0.2875	0	0	0	1	3	16	0
306	1350420	29	5.79	0.439952438	0	0	0	2	4	21	2
307	1351107	22	5.55	0.702479339	0	0	1	1	6	13	1
308	1357975	20	5.65	0.5275	0	0	0	1	7	10	2
309	1358436	13	6.46	0.392857143	0	0	0	0	1	5	8
310	1359454	67	5.6	0.511478421	0	0	0	6	17	40	3
311	1362030	10	4.9	0.89	0	0	1	2	4	3	0
312	1365729	41	5.29	0.484375	0	0	0	4	18	17	1
313	1365884	11	5.64	0.231404959	0	0	0	0	4	7	0
314	1368066	21	5	0.571428571	0	0	1	3	12	5	0
315	1370126	11	5.27	0.972222222	0	0	1	2	3	6	0
316	1370260	36	5.53	0.360339506	0	0	0	1	16	18	1
317	1370316	12	5.42	0.576388889	0	0	0	2	3	7	0
318	1370526	14	5.79	0.31122449	0	0	0	0	4	9	1
319	1370541	59	5.37	0.806666667	0	0	2	6	23	24	5
320	1370849	34	6.21	0.362879239	0	0	0	0	3	22	16
321	1371002	14	5.64	-1	-1	-1	-1	-1	-1	-1	-1
322	1372105	36	4.97	0.856632957	0	0	1	9	17	11	3
323	1373485	33	6.21	-1	-1	-1	-1	-1	-1	-1	-1
324	1373580	20	6.3	0.72	0	0	0	0	6	3	16
325	1374080	57	4.61	1.191735954	0	0	6	20	22	9	6
326	1374700	19	5.79	-1	-1	-1	-1	-1	-1	-1	-1
327	1377553	25	5.32	-1	-1	-1	-1	-1	-1	-1	-1
328	1377645	37	5.3	0.911614317	0	0	2	6	9	19	1
329	1379177	29	6	0.42122449	0	0	0	0	6	20	9
330	1381086	23	6.13	0.360946746	0	0	0	0	3	16	7
331	1383025	29	5.52	0.318668252	0	0	0	1	12	16	0
332	1383612	21	4.95	1.092970522	0	0	2	6	4	9	0
333	1383822	28	5.89	0.238520408	0	0	0	0	5	21	2
334	1385575	39	5.72	0.561472715	0	0	0	3	9	23	4
335	1385583	34	5.56	0.48183391	0	0	0	2	13	17	2
336	1385612	26	5.23	0.485207101	0	0	1	1	15	9	0
337	1386365	25	5.28	0.828402367	0	0	2	1	11	11	1
338	1387004	11	5.09	0.446280992	0	0	0	2	6	3	0
339	1387042	15	5.67	0.488888889	0	0	0	0	7	6	2
340	1387054	21	5.67	0.412698413	0	0	0	1	6	13	1
341	1388961	22	6.09	0.537190083	0	0	0	1	2	13	6
342	1389762	11	5.73	0.561983471	0	0	0	0	5	4	2
343	1390701	14	5.29	-1	-1	-1	-1	-1	-1	-1	-1
344	1391403	69	4.88	0.693131695	0	0	3	20	29	17	0
345	1391761	15	6.33	0.1875	0	0	0	0	0	12	4
346	1391805	10	6.3	0.561983471	0	0	0	0	2	4	5
347	1392850	21	5.71	0.561983471	0	0	0	0	10	8	4
348	1394730	20	4.55	0.8475	0	0	3	6	8	3	0
349	1394897	18	5.33	0.533950617	0	0	0	2	10	5	1
350	1394907	33	5.27	0.748269896	0	0	1	2	20	7	4
351	1394909	11	5.55	0.743055556	0	0	0	2	2	7	1
352	1394920	37	6.08	0.236669102	0	0	0	1	0	31	5
353	1395004	12	5.17	0.805555556	0	0	1	1	5	5	0
354	1395966	31	5.58	-1	-1	-1	-1	-1	-1	-1	-1
355	1397355	10	5	-1	-1	-1	-1	-1	-1	-1	-1
356	1399177	10	5.1	0.512396694	0	0	0	2	5	4	0
357	1401585	25	5.04	0.972222222	0	0	0	8	6	8	2
358	1401712	10	5	0.8	0	0	0	3	5	1	1
359	1402395	34	6.15	0.624375	0	0	0	1	6	16	17
360	1402748	10	5.2	-1	-1	-1	-1	-1	-1	-1	-1
361	1403744	16	5.25	0.678200692	0	0	0	3	7	6	1
362	1403747	19	5.32	0.507936508	0	0	1	0	11	9	0
363	1403775	11	4.09	-1	-1	-1	-1	-1	-1	-1	-1
364	1403817	15	5.33	-1	-1	-1	-1	-1	-1	-1	-1
365	1403890	47	5.74	0.530556813	0	0	0	3	11	28	5
366	1405168	14	5.57	0.244897959	0	0	0	0	6	8	0
367	1405194	54	6.13	0.498216409	0	0	0	3	2	37	16
368	1405206	20	5.95	-1	-1	-1	-1	-1	-1	-1	-1
369	1405514	20	5.85	0.4275	0	0	0	1	3	14	2
370	1407925	63	5.44	0.532627866	0	0	0	7	23	31	2
371	1408934	35	6.11	0.409375	0	0	0	0	6	23	11
372	1409262	57	6.37	0.489795918	0	0	0	1	5	26	31
373	1410415	12	6	0.166666667	0	0	0	0	1	10	1
374	1411618	26	5.62	0.467455621	0	0	0	3	4	19	0
375	1411753	12	5.08	0.780612245	0	0	0	4	6	3	1
376	1412215	17	5.76	0.537190083	0	0	0	0	7	10	5
377	1413049	79	4.91	0.865566416	0	0	5	20	34	17	3
378	1414435	34	5.74	0.807605251	0	0	1	3	8	25	10
379	1414464	28	6	0.4375	0	0	0	1	4	21	6
380	1415275	24	5.42	0.576388889	0	0	0	3	9	11	1
381	1415289	13	5.54	0.710059172	0	0	1	0	3	9	0
382	1415763	11	5.36	0.958677686	0	0	0	3	2	5	1
383	1415883	12	5.33	0.722222222	0	0	1	0	5	6	0
384	1415972	14	5.93	-1	-1	-1	-1	-1	-1	-1	-1
385	1416576	89	5.81	0.311829314	0	0	0	2	18	64	5
386	1416734	12	5.92	0.99408284	0	0	1	0	1	8	3
387	1416915	20	6.05	-1	-1	-1	-1	-1	-1	-1	-1
388	1416997	12	5.25	0.6875	0	0	0	3	3	6	0
389	1418128	12	4.92	1.076388889	0	0	1	4	2	5	0
390	1418263	35	5.69	-1	-1	-1	-1	-1	-1	-1	-1
391	1418410	16	5.88	-1	-1	-1	-1	-1	-1	-1	-1
392	1418579	11	3.73	0.89	0	0	4	4	1	1	0
393	1418810	26	6.19	-1	-1	-1	-1	-1	-1	-1	-1
394	1420381	14	5.57	0.773333333	0	0	1	0	4	9	1
395	1421084	16	5.88	0.9375	0	0	0	2	4	6	4
396	1421534	11	5	0.727272727	0	0	1	1	6	3	0
397	1422170	18	5.67	0.986149584	0	0	1	1	7	7	3
398	1422241	10	5.4	0.24	0	0	0	0	6	4	0
399	1422253	21	5	0.571428571	0	0	0	6	9	6	0
400	1422256	55	6.42	0.459183673	0	0	0	1	3	23	29
401	1423500	12	4.92	0.99408284	0	0	1	2	6	3	1
402	1423530	19	5.79	0.57231405	0	0	0	1	5	12	4
403	1423546	16	6.12	0.498269896	0	0	0	0	3	8	6
404	1423677	13	5.08	0.840236686	0	0	0	5	2	6	0
405	1425005	27	5.15	0.563609467	0	0	0	6	11	9	0
406	1425296	11	5.64	0.595041322	0	0	0	1	3	6	1
407	1426415	34	6.18	0.262975779	0	0	0	0	2	24	8
408	1426635	16	4.5	-1	-1	-1	-1	-1	-1	-1	-1
409	1429826	24	5.33	0.555555556	0	0	0	4	8	12	0
410	1429893	26	5.62	0.467455621	0	0	0	2	7	16	1
411	1429905	13	4.77	0.792899408	0	0	1	4	5	3	0
412	1429910	28	5.64	0.443877551	0	0	0	2	7	18	1
413	1430294	24	5	0.75	0	0	1	6	9	8	0
414	1432361	36	5.03	-1	-1	-1	-1	-1	-1	-1	-1
415	1432466	10	4	0.6	0	0	2	7	0	1	0
416	1432474	12	4.25	0.520833333	0	0	2	5	5	0	0
417	1432740	60	5.75	0.635850578	0	0	0	6	10	37	8
418	1433561	18	5.56	0.443213296	0	0	0	1	6	11	1
419	1433619	10	5.6	0.41	0	0	0	0	4	5	1
420	1434348	24	5.5	0.75	0	0	0	4	6	12	2
421	1435020	11	5.45	0.429752066	0	0	0	1	4	6	0
422	1435261	34	5.59	0.404897959	0	0	0	2	10	22	1
423	1435591	20	5.35	0.443213296	0	0	0	2	8	9	0
424	1435670	27	5.96	0.444444444	0	0	0	0	6	15	6
425	1436381	20	5.15	0.6275	0	0	1	2	10	7	0
426	1437124	14	6	0.285714286	0	0	0	0	2	10	2
427	1437377	23	6.43	0.4	0	0	0	0	2	11	12
428	1437405	62	5.18	0.770760548	0	0	2	12	21	25	1
429	1438493	51	5.92	-1	-1	-1	-1	-1	-1	-1	-1
430	1439972	11	4.82	1.05785124	0	0	1	4	2	4	0
431	1440285	11	6.18	0.330578512	0	0	0	0	1	7	3
432	1440317	10	5.7	0.41	0	0	0	1	1	8	0
